Hash,RSSI,SNR,Throughput,BER,FEC,PC,MC,Output
1868d65dcdbf6108cf24806e74eb38f9797a4784b55eaf35b0ffc4e2b18d48c7,0.08354547558435547,0.15473790322580644,0.00013184495033840204,0.6473251028838837,0.38943626226306166,0.0,0.0,0.4377256169619142
1868d65dcdbf6108cf24806e74eb38f9797a4784b55eaf35b0ffc4e2b18d48c7,0.27123351076139784,0.3941532258064516,0.4713456974597874,0.0059242769764971445,0.0,1.0,0.5,0.4993550186792985
1868d65dcdbf6108cf24806e74eb38f9797a4784b55eaf35b0ffc4e2b18d48c7,0.667206665123814,0.26663306451612906,0.08050232926078933,0.0,0.45016731245325464,0.75,0.25,0.46529924930024663
bc1acbb2ccc8954fe3d2a7be3b655f9d8d5437b997bcf1b01caf32b481f327db,0.6139154160982264,0.29627862595419846,0.0007761598670689579,0.043393147037609034,0.28831389418222286,0.2,1.0,0.4402129720812449
bc1acbb2ccc8954fe3d2a7be3b655f9d8d5437b997bcf1b01caf32b481f327db,1.0,1.0,1.0,0.005933739108876326,1.0,0.45,0.0,0.8419744435173412
bc1acbb2ccc8954fe3d2a7be3b655f9d8d5437b997bcf1b01caf32b481f327db,0.0,0.0,0.0,1.0,0.2623855632456997,0.0,0.0,0.3839126671241038
bc1acbb2ccc8954fe3d2a7be3b655f9d8d5437b997bcf1b01caf32b481f327db,0.260800363801728,0.12547709923664122,0.00016397743670470941,0.7011355989267323,0.8449505990534703,0.0,0.0,0.4264780918549598
bc1acbb2ccc8954fe3d2a7be3b655f9d8d5437b997bcf1b01caf32b481f327db,0.8465211459754434,0.3726145038167939,0.4168962350780533,0.006840120032433026,0.0,1.0,0.5,0.48501732435172373
bc1acbb2ccc8954fe3d2a7be3b655f9d8d5437b997bcf1b01caf32b481f327db,0.8158253751705322,0.26479007633587787,0.07996632996632998,0.0,0.6101937781247702,0.75,0.25,0.45858557519744725
177fbcaa2638f81f10e16f29f4a3413ed27bf04d963b50db999238ccdcf034d7,0.32123090546823124,0.31072921504876916,0.0006784794194576098,0.03231144149865737,0.4144869278342347,0.2,1.0,0.44536350397793584
177fbcaa2638f81f10e16f29f4a3413ed27bf04d963b50db999238ccdcf034d7,1.0,1.0,1.0,0.0039553491966771315,1.0,0.45,0.0,0.8432591966063872
177fbcaa2638f81f10e16f29f4a3413ed27bf04d963b50db999238ccdcf034d7,0.0,0.0,0.0,1.0,0.5157906771120316,0.0,0.0,0.3825937332506286
177fbcaa2638f81f10e16f29f4a3413ed27bf04d963b50db999238ccdcf034d7,0.14190834624750934,0.13237343241987923,0.00013766249090444257,0.6486904633743884,0.6831520163323797,0.0,0.0,0.43209734494605595
177fbcaa2638f81f10e16f29f4a3413ed27bf04d963b50db999238ccdcf034d7,0.4797431923843259,0.3437064561077566,0.4121614977679011,0.005789894858866854,0.0,1.0,0.5,0.4794618036087204
177fbcaa2638f81f10e16f29f4a3413ed27bf04d963b50db999238ccdcf034d7,0.45671906132388773,0.2796098467254993,0.07350193710790774,0.0,0.18239140970496354,0.75,0.25,0.4590328374088638
89d08d6c409425f5aa457f13b62f6c6d07f71cb0cd22969d87b75a534cc10753,0.07417528791723595,0.27106969205834686,0.0005791991941576428,0.03443090654150078,0.037367835890680864,0.2,1.0,0.42772947844504217
89d08d6c409425f5aa457f13b62f6c6d07f71cb0cd22969d87b75a534cc10753,1.0,1.0,1.0,0.004601176857651505,1.0,0.45,0.0,0.8445301870338655
89d08d6c409425f5aa457f13b62f6c6d07f71cb0cd22969d87b75a534cc10753,0.0,0.0,0.0,1.0,0.05942607531509104,0.0,0.0,0.37814888239577277
89d08d6c409425f5aa457f13b62f6c6d07f71cb0cd22969d87b75a534cc10753,0.12980675385516283,0.1126418152350081,0.00011751867707546377,0.7097776503811734,0.7731253994260361,0.0,0.0,0.41725462537649943
89d08d6c409425f5aa457f13b62f6c6d07f71cb0cd22969d87b75a534cc10753,0.49990240093695104,0.33144246353322526,0.3303282128766894,0.0062584937647821165,0.0,1.0,0.5,0.4557871810747639
89d08d6c409425f5aa457f13b62f6c6d07f71cb0cd22969d87b75a534cc10753,0.48409135272301385,0.23176661264181525,0.0598421892050701,0.0,0.12241237697543257,0.75,0.25,0.4409783015061806
4106ddc05d3e0b9ed75d707392f09dee5b633bb8775c8f21433b5b3467c0595e,0.4618143459915613,0.28731510533393095,0.00068277765489917,0.033902237791903794,0.3064116843821315,0.2,1.0,0.4403665589475616
4106ddc05d3e0b9ed75d707392f09dee5b633bb8775c8f21433b5b3467c0595e,1.0,1.0,1.0,0.004804958933756344,1.0,0.45,0.0,0.8441730297911745
4106ddc05d3e0b9ed75d707392f09dee5b633bb8775c8f21433b5b3467c0595e,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3787972044041969
4106ddc05d3e0b9ed75d707392f09dee5b633bb8775c8f21433b5b3467c0595e,0.20147679324894513,0.11519497982967279,0.00012501562695336918,0.6490714371381937,0.5554183924456458,0.0,0.0,0.4275598162914123
4106ddc05d3e0b9ed75d707392f09dee5b633bb8775c8f21433b5b3467c0595e,0.5548523206751055,0.37651277454056464,0.3633338782732457,0.005630896883014633,0.16276377963720323,1.0,0.5,0.47566433619078596
4106ddc05d3e0b9ed75d707392f09dee5b633bb8775c8f21433b5b3467c0595e,0.8297468354430381,0.2460779919318691,0.07184551915143239,0.0,0.30504263304088974,0.75,0.25,0.4556647382052933
54195695098451f6b5c87bfcd38d6d8f8692a65306c2c969b5d7d0c491190831,0.30521621097537344,0.2808683853459973,0.0006473220567954743,0.037384431373056505,0.7166637954519128,0.2,1.0,0.43367560474706257
54195695098451f6b5c87bfcd38d6d8f8692a65306c2c969b5d7d0c491190831,1.0,1.0,1.0,0.005134090251854731,0.9484156674651429,0.45,0.0,0.8430454701507143
54195695098451f6b5c87bfcd38d6d8f8692a65306c2c969b5d7d0c491190831,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38113413673827934
54195695098451f6b5c87bfcd38d6d8f8692a65306c2c969b5d7d0c491190831,0.008144269924374668,0.1379466304839439,0.00014072218625988574,0.720761199693011,1.0,0.0,0.0,0.42174800709998583
54195695098451f6b5c87bfcd38d6d8f8692a65306c2c969b5d7d0c491190831,0.4331975955012604,0.3713251922207146,0.35910425637706045,0.006740679644189807,0.010569938391893286,1.0,0.5,0.4671884380498617
54195695098451f6b5c87bfcd38d6d8f8692a65306c2c969b5d7d0c491190831,0.5006786891603646,0.25915875169606517,0.06640210895649809,0.0,0.37492290593059535,0.75,0.25,0.4480764213835539
21bb14c9f617240113b1371ed073b24c7bda11f3ac4147aaf61bff368cc2ace4,0.2111051018568595,0.3393602225312935,0.0006367839641186079,0.0320684380918433,0.7902496109428244,0.2,1.0,0.44669700411294444
21bb14c9f617240113b1371ed073b24c7bda11f3ac4147aaf61bff368cc2ace4,1.0,1.0,1.0,0.004965379736421221,0.9452507249455183,0.45,0.0,0.8424325346092661
21bb14c9f617240113b1371ed073b24c7bda11f3ac4147aaf61bff368cc2ace4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38251375986719754
21bb14c9f617240113b1371ed073b24c7bda11f3ac4147aaf61bff368cc2ace4,0.36416080764377123,0.14140009272137227,0.00012920254344435522,0.6729100603862167,1.0,0.0,0.0,0.4325884690429812
