Hash,RSSI,SNR,Throughput,BER,FEC,PC,MC,Delay,Jitter,HC,Ouput
77ceb96fce5694267297b3eeec9588f961cd84a1576e91af700cfb3af90b086c,0.14218009478672952,0.2881053642474963,0.01359703337453647,0.6733480577427327,0.8079398545171549,0.0,0.0,1.0,0.0,1.0,0.4432567150054851
1c096bee0605b255e06294ff49538387fb143727d6ff1533d4988efb4db5b432,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3904693224112843
1c096bee0605b255e06294ff49538387fb143727d6ff1533d4988efb4db5b432,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6095306775887156
1c096bee0605b255e06294ff49538387fb143727d6ff1533d4988efb4db5b432,0.16055879220697797,0.30220492866407267,0.014134275618374558,0.6674245662653225,0.2188355020696368,0.0,0.0,1.0,1.0,1.0,0.44305558089923164
1b2b92cf38998c58092a22cd7db2c70ba62c6fbbec723eb52801067212252124,0.0,0.0,0.0,1.0,0.9478553917746593,0.0,0.0,1.0,1.0,1.0,0.3907728068139682
1b2b92cf38998c58092a22cd7db2c70ba62c6fbbec723eb52801067212252124,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6092078196268153
1b2b92cf38998c58092a22cd7db2c70ba62c6fbbec723eb52801067212252124,0.11266823921187799,0.23416534410618958,0.009569377990430623,0.7876714281961522,1.0,0.0,0.0,1.0,1.0,1.0,0.4159570445596348
8c547124db547f1db20d6ac0559885a8dad1a9659262f2a39338d8b5d30178b0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.3995901449412418
8c547124db547f1db20d6ac0559885a8dad1a9659262f2a39338d8b5d30178b0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6004098550587583
8c547124db547f1db20d6ac0559885a8dad1a9659262f2a39338d8b5d30178b0,0.06888361045130667,0.1444460705400263,0.0061728395061728366,0.7995517166062953,0.45311720344317485,0.0,0.0,1.0,1.0,1.0,0.41931268591850185
00a16a2dcd3b4af873358a8b288d7549931376f55a35022c560bf32447b2ea80,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4023870815873754
00a16a2dcd3b4af873358a8b288d7549931376f55a35022c560bf32447b2ea80,1.0,1.0,1.0,0.0,0.7494779294004545,1.0,1.0,0.0,1.0,0.0,0.5973766481232374
00a16a2dcd3b4af873358a8b288d7549931376f55a35022c560bf32447b2ea80,0.0974135690148164,0.18970532439610466,0.009019165727170236,0.8290701198131821,1.0,0.0,0.0,1.0,0.0,1.0,0.4278428502902992
6aee0f11bd95b563b9ae29a5a86d0ae6e02914e2e22d971f06a356e591601bac,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.3939779535416381
6aee0f11bd95b563b9ae29a5a86d0ae6e02914e2e22d971f06a356e591601bac,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6060220464583619
6aee0f11bd95b563b9ae29a5a86d0ae6e02914e2e22d971f06a356e591601bac,0.09246420009071427,0.17934850962143126,0.008474576271186444,0.9098279480953366,0.8029450174158711,0.0,0.0,1.0,1.0,1.0,0.4134369025118872
cb8b6cc5209132af4b426a6e661c9f7876cc7af56e8c1ad1d01812856a048fca,0.0,0.0,0.0,1.0,0.29111765097305625,0.0,0.0,1.0,0.0,1.0,0.4032588947547057
cb8b6cc5209132af4b426a6e661c9f7876cc7af56e8c1ad1d01812856a048fca,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5959507326387307
cb8b6cc5209132af4b426a6e661c9f7876cc7af56e8c1ad1d01812856a048fca,0.12551159618008115,0.2564424014486697,0.012195121951219516,0.7722375678788248,1.0,0.0,0.0,1.0,0.0,1.0,0.4376594792126005
3da63e72d917ca151b781b26aad3f76b5854fb91d7f5b6908952de63b5a6ee67,0.0,0.0,0.0,1.0,0.5472349938128339,0.0,0.0,1.0,0.0,1.0,0.4001016463233683
3da63e72d917ca151b781b26aad3f76b5854fb91d7f5b6908952de63b5a6ee67,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5993206606616726
3da63e72d917ca151b781b26aad3f76b5854fb91d7f5b6908952de63b5a6ee67,0.097540615167277,0.18783984181908062,0.00881057268722467,0.9575418512221628,1.0,0.0,0.0,1.0,0.0,1.0,0.4157601065351282
8760bc669075507080f6238319e06e1795fc28fc3bea3a9db481557f49a72019,0.0,0.0,0.0,1.0,0.3345946471065976,0.0,0.0,1.0,0.0,1.0,0.4100731434170372
8760bc669075507080f6238319e06e1795fc28fc3bea3a9db481557f49a72019,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5883629113664725
8760bc669075507080f6238319e06e1795fc28fc3bea3a9db481557f49a72019,0.09806388481163106,0.2054513481828839,0.008917197452229299,0.8717526741178907,1.0,0.0,0.0,1.0,0.0,1.0,0.4336820102592879
eb6b3c7e94ec5125f820ca69378923171e16f3e99a80a9daa06215f9c32de09c,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3794110746768252
eb6b3c7e94ec5125f820ca69378923171e16f3e99a80a9daa06215f9c32de09c,1.0,1.0,1.0,0.0,0.8981090415980952,1.0,1.0,0.0,0.0,0.0,0.6205169013161608
eb6b3c7e94ec5125f820ca69378923171e16f3e99a80a9daa06215f9c32de09c,0.1715349931386003,0.33550696841836086,0.016311166875784194,0.6042685070720685,1.0,0.0,0.0,1.0,1.0,1.0,0.43808379590720486
ceebfbb1ddd73bff20dfb22a6c3f5d2fc23523cfc98e98c84996f9c37e1a999b,0.0,0.0,0.0,1.0,0.675057670916227,0.0,0.0,0.0,0.0,1.0,0.4137859035237026
ceebfbb1ddd73bff20dfb22a6c3f5d2fc23523cfc98e98c84996f9c37e1a999b,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5857567278433494
ceebfbb1ddd73bff20dfb22a6c3f5d2fc23523cfc98e98c84996f9c37e1a999b,0.08212526877991241,0.1708477508650519,0.007151370679380213,0.8042982912114841,1.0,0.0,0.0,0.0,0.0,1.0,0.4372480259625779
17d73791fb741769322ab58df1c264959ca092b6fd2d2ccdbd6e3c4ac6de01b7,0.0,0.0,0.0,1.0,0.6577239448414424,0.0,0.0,0.0,0.0,1.0,0.4047218819831808
17d73791fb741769322ab58df1c264959ca092b6fd2d2ccdbd6e3c4ac6de01b7,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5942676108320648
17d73791fb741769322ab58df1c264959ca092b6fd2d2ccdbd6e3c4ac6de01b7,0.1086229261964904,0.22216020094892544,0.010296010296010292,0.9624107940361999,1.0,0.0,0.0,0.0,0.0,1.0,0.42615450540190547
6c2caae4c0b26b6de85ac51e71ce7614ac34a26261281684895f08e482c63e08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.387780725289143
6c2caae4c0b26b6de85ac51e71ce7614ac34a26261281684895f08e482c63e08,1.0,1.0,1.0,0.0,0.5037723600909634,1.0,1.0,0.0,0.0,0.0,0.6113653412207893
6c2caae4c0b26b6de85ac51e71ce7614ac34a26261281684895f08e482c63e08,0.14106273839273956,0.2778353184878301,0.012870012870012867,0.8601623204021825,1.0,0.0,0.0,1.0,1.0,1.0,0.4232418932979737
7c346dcb2b86f19cbc61d77250a3938b402d325622e461f57ee27e9aec8b88d8,0.0,0.0,0.0,1.0,0.48010137450599305,0.0,0.0,1.0,1.0,1.0,0.3888250958595811
